train_no,train_type,distance_km,departure_date,day_of_week,weather_condition,delay_minutes,is_delayed
12951,Rajdhani,1380,2025-05-26,Monday,Clear,3,0
11020,Express,1800,2025-11-23,Sunday,Foggy,150,1
12423,Rajdhani,2100,2025-08-17,Sunday,Clear,4,0
12004,Shatabdi,450,2025-10-21,Tuesday,Rainy,25,0
11020,Express,1800,2025-06-08,Sunday,Clear,11,0
12004,Shatabdi,450,2026-01-22,Thursday,Clear,4,0
12951,Rajdhani,1380,2025-08-21,Thursday,Clear,5,0
12423,Rajdhani,2100,2026-01-09,Friday,Clear,3,0
12951,Rajdhani,1380,2025-11-02,Sunday,Clear,7,0
12004,Shatabdi,450,2025-08-08,Friday,Clear,0,0
22924,Superfast,1500,2025-09-05,Friday,Clear,28,0
22924,Superfast,1500,2026-02-25,Wednesday,Foggy,131,1
12951,Rajdhani,1380,2025-11-02,Sunday,Clear,4,0
12423,Rajdhani,2100,2025-09-12,Friday,Clear,15,0
12951,Rajdhani,1380,2025-11-11,Tuesday,Foggy,48,0
22924,Superfast,1500,2025-04-27,Sunday,Rainy,45,0
22924,Superfast,1500,2025-11-04,Tuesday,Clear,9,0
12423,Rajdhani,2100,2025-12-16,Tuesday,Rainy,35,0
22924,Superfast,1500,2025-09-14,Sunday,Clear,48,0
12951,Rajdhani,1380,2025-10-11,Saturday,Clear,18,0
12004,Shatabdi,450,2026-01-11,Sunday,Clear,4,0
12004,Shatabdi,450,2026-04-11,Saturday,Rainy,20,0
11020,Express,1800,2025-10-19,Sunday,Rainy,49,0
22924,Superfast,1500,2026-01-04,Sunday,Clear,7,0
12423,Rajdhani,2100,2026-03-27,Friday,Rainy,14,0
12951,Rajdhani,1380,2025-07-12,Saturday,Clear,4,0
22924,Superfast,1500,2026-02-08,Sunday,Clear,1,0
11020,Express,1800,2025-12-22,Monday,Clear,14,0
11020,Express,1800,2026-01-24,Saturday,Clear,49,0
22924,Superfast,1500,2026-01-07,Wednesday,Rainy,53,0
11020,Express,1800,2026-01-20,Tuesday,Clear,8,0
12951,Rajdhani,1380,2025-12-03,Wednesday,Stormy,2,0
22924,Superfast,1500,2025-12-23,Tuesday,Clear,20,0
11020,Express,1800,2025-10-17,Friday,Foggy,153,1
12004,Shatabdi,450,2025-09-22,Monday,Foggy,72,1
12423,Rajdhani,2100,2025-10-22,Wednesday,Clear,0,0
11020,Express,1800,2025-08-14,Thursday,Rainy,38,0
12004,Shatabdi,450,2025-12-31,Wednesday,Clear,14,0
12423,Rajdhani,2100,2026-02-11,Wednesday,Clear,8,0
12004,Shatabdi,450,2025-06-21,Saturday,Rainy,14,0
12004,Shatabdi,450,2025-07-15,Tuesday,Clear,5,0
12423,Rajdhani,2100,2026-01-05,Monday,Rainy,30,0
12951,Rajdhani,1380,2025-08-31,Sunday,Clear,0,0
12951,Rajdhani,1380,2025-09-29,Monday,Foggy,77,1
12004,Shatabdi,450,2025-11-22,Saturday,Clear,6,0
11020,Express,1800,2026-04-02,Thursday,Clear,14,0
11020,Express,1800,2026-03-17,Tuesday,Rainy,73,1
12423,Rajdhani,2100,2026-02-14,Saturday,Clear,0,0
11020,Express,1800,2026-03-08,Sunday,Clear,4,0
11020,Express,1800,2026-02-16,Monday,Rainy,69,1
11020,Express,1800,2026-04-10,Friday,Clear,16,0
12951,Rajdhani,1380,2026-03-21,Saturday,Clear,3,0
11020,Express,1800,2025-11-15,Saturday,Clear,5,0
12951,Rajdhani,1380,2026-02-01,Sunday,Clear,4,0
11020,Express,1800,2026-03-09,Monday,Foggy,169,1
12004,Shatabdi,450,2026-01-04,Sunday,Rainy,19,0
12423,Rajdhani,2100,2025-06-09,Monday,Clear,4,0
12004,Shatabdi,450,2025-05-01,Thursday,Clear,0,0
11020,Express,1800,2026-02-11,Wednesday,Clear,4,0
22924,Superfast,1500,2025-10-10,Friday,Clear,59,0
22924,Superfast,1500,2026-03-10,Tuesday,Rainy,18,0
22924,Superfast,1500,2025-11-12,Wednesday,Clear,1,0
12423,Rajdhani,2100,2025-11-25,Tuesday,Rainy,23,0
12423,Rajdhani,2100,2025-12-15,Monday,Rainy,22,0
12423,Rajdhani,2100,2026-03-22,Sunday,Rainy,41,0
12951,Rajdhani,1380,2025-11-17,Monday,Foggy,50,0
12004,Shatabdi,450,2025-11-09,Sunday,Clear,4,0
12004,Shatabdi,450,2026-02-17,Tuesday,Clear,0,0
12951,Rajdhani,1380,2026-02-16,Monday,Clear,1,0
12423,Rajdhani,2100,2025-10-12,Sunday,Clear,3,0
12951,Rajdhani,1380,2025-07-26,Saturday,Clear,5,0
11020,Express,1800,2025-07-30,Wednesday,Stormy,7,0
11020,Express,1800,2025-12-27,Saturday,Clear,7,0
12951,Rajdhani,1380,2025-07-10,Thursday,Clear,0,0
11020,Express,1800,2026-03-08,Sunday,Clear,31,0
12423,Rajdhani,2100,2026-03-09,Monday,Rainy,22,0
12951,Rajdhani,1380,2025-09-03,Wednesday,Clear,17,0
11020,Express,1800,2026-04-03,Friday,Clear,3,0
12423,Rajdhani,2100,2025-10-28,Tuesday,Clear,1,0
12951,Rajdhani,1380,2025-09-11,Thursday,Clear,4,0
12423,Rajdhani,2100,2025-11-18,Tuesday,Foggy,59,0
11020,Express,1800,2025-07-26,Saturday,Clear,0,0
22924,Superfast,1500,2026-02-07,Saturday,Clear,25,0
22924,Superfast,1500,2025-11-19,Wednesday,Clear,7,0
11020,Express,1800,2025-10-12,Sunday,Rainy,35,0
12951,Rajdhani,1380,2025-11-25,Tuesday,Rainy,30,0
12951,Rajdhani,1380,2026-03-03,Tuesday,Rainy,23,0
22924,Superfast,1500,2025-10-30,Thursday,Foggy,184,1
12004,Shatabdi,450,2025-04-23,Wednesday,Clear,30,0
12951,Rajdhani,1380,2026-03-15,Sunday,Rainy,35,0
11020,Express,1800,2025-07-20,Sunday,Foggy,122,1
12004,Shatabdi,450,2025-06-15,Sunday,Rainy,18,0
11020,Express,1800,2026-03-28,Saturday,Rainy,30,0
11020,Express,1800,2025-08-07,Thursday,Clear,9,0
12951,Rajdhani,1380,2026-01-11,Sunday,Clear,0,0
12004,Shatabdi,450,2025-10-04,Saturday,Foggy,72,1
22924,Superfast,1500,2026-02-01,Sunday,Rainy,37,0
12951,Rajdhani,1380,2025-06-01,Sunday,Rainy,15,0
12004,Shatabdi,450,2026-02-06,Friday,Clear,18,0
11020,Express,1800,2025-07-02,Wednesday,Clear,18,0
12004,Shatabdi,450,2025-10-25,Saturday,Rainy,15,0
22924,Superfast,1500,2025-06-28,Saturday,Clear,8,0
11020,Express,1800,2025-10-16,Thursday,Foggy,166,1
11020,Express,1800,2025-04-29,Tuesday,Clear,5,0
12951,Rajdhani,1380,2025-05-20,Tuesday,Foggy,58,0
11020,Express,1800,2026-02-15,Sunday,Stormy,3,0
22924,Superfast,1500,2025-08-08,Friday,Clear,42,0
12423,Rajdhani,2100,2025-06-07,Saturday,Stormy,4,0
12423,Rajdhani,2100,2025-11-30,Sunday,Foggy,60,0
12004,Shatabdi,450,2025-08-19,Tuesday,Clear,0,0
11020,Express,1800,2025-11-30,Sunday,Rainy,58,0
12004,Shatabdi,450,2025-06-15,Sunday,Clear,6,0
12423,Rajdhani,2100,2026-03-13,Friday,Rainy,20,0
12004,Shatabdi,450,2026-01-30,Friday,Clear,3,0
22924,Superfast,1500,2025-06-23,Monday,Clear,14,0
11020,Express,1800,2025-10-12,Sunday,Foggy,64,1
22924,Superfast,1500,2025-07-15,Tuesday,Foggy,128,1
12423,Rajdhani,2100,2026-01-15,Thursday,Clear,4,0
22924,Superfast,1500,2025-08-18,Monday,Clear,0,0
11020,Express,1800,2025-10-02,Thursday,Clear,5,0
12004,Shatabdi,450,2025-07-09,Wednesday,Rainy,23,0
12951,Rajdhani,1380,2025-05-25,Sunday,Foggy,78,1
12004,Shatabdi,450,2025-12-27,Saturday,Clear,8,0
22924,Superfast,1500,2026-03-04,Wednesday,Stormy,5,0
12004,Shatabdi,450,2025-07-03,Thursday,Foggy,59,0
12423,Rajdhani,2100,2025-09-06,Saturday,Clear,8,0
12951,Rajdhani,1380,2025-04-30,Wednesday,Foggy,70,1
22924,Superfast,1500,2025-08-20,Wednesday,Clear,8,0
11020,Express,1800,2025-10-18,Saturday,Rainy,53,0
22924,Superfast,1500,2025-11-12,Wednesday,Clear,10,0
12004,Shatabdi,450,2026-02-22,Sunday,Clear,1,0
12951,Rajdhani,1380,2025-05-10,Saturday,Rainy,20,0
22924,Superfast,1500,2025-07-04,Friday,Foggy,108,1
12951,Rajdhani,1380,2025-05-21,Wednesday,Clear,6,0
22924,Superfast,1500,2025-10-30,Thursday,Stormy,47,0
12423,Rajdhani,2100,2025-11-19,Wednesday,Rainy,35,0
22924,Superfast,1500,2025-11-03,Monday,Clear,2,0
11020,Express,1800,2025-09-26,Friday,Clear,25,0
22924,Superfast,1500,2025-04-14,Monday,Rainy,31,0
12951,Rajdhani,1380,2026-04-06,Monday,Rainy,21,0
12951,Rajdhani,1380,2025-06-26,Thursday,Clear,7,0
22924,Superfast,1500,2025-10-26,Sunday,Clear,0,0
12004,Shatabdi,450,2025-12-21,Sunday,Clear,5,0
12951,Rajdhani,1380,2025-10-28,Tuesday,Clear,32,0
12004,Shatabdi,450,2025-05-27,Tuesday,Rainy,19,0
12004,Shatabdi,450,2025-11-13,Thursday,Rainy,12,0
12423,Rajdhani,2100,2026-03-11,Wednesday,Clear,1,0
12423,Rajdhani,2100,2026-03-01,Sunday,Clear,2,0
22924,Superfast,1500,2025-06-04,Wednesday,Clear,7,0
12951,Rajdhani,1380,2025-11-18,Tuesday,Clear,1,0
11020,Express,1800,2025-09-12,Friday,Stormy,24,0
22924,Superfast,1500,2026-04-05,Sunday,Clear,5,0
11020,Express,1800,2026-02-03,Tuesday,Clear,20,0
12423,Rajdhani,2100,2025-09-15,Monday,Rainy,19,0
12951,Rajdhani,1380,2025-12-18,Thursday,Rainy,10,0
11020,Express,1800,2025-10-01,Wednesday,Foggy,163,1
12951,Rajdhani,1380,2026-04-01,Wednesday,Clear,4,0
12423,Rajdhani,2100,2025-05-18,Sunday,Clear,3,0
12004,Shatabdi,450,2026-03-06,Friday,Clear,5,0
11020,Express,1800,2025-09-22,Monday,Clear,0,0
12423,Rajdhani,2100,2026-03-06,Friday,Clear,19,0
11020,Express,1800,2025-11-25,Tuesday,Clear,9,0
22924,Superfast,1500,2025-05-28,Wednesday,Foggy,213,1
12004,Shatabdi,450,2025-12-07,Sunday,Rainy,25,0
11020,Express,1800,2026-03-28,Saturday,Clear,21,0
22924,Superfast,1500,2026-01-16,Friday,Foggy,132,1
12951,Rajdhani,1380,2025-09-26,Friday,Clear,15,0
12004,Shatabdi,450,2026-02-27,Friday,Clear,1,0
11020,Express,1800,2025-07-04,Friday,Clear,1,0
12004,Shatabdi,450,2025-07-20,Sunday,Foggy,51,0
11020,Express,1800,2025-10-11,Saturday,Clear,20,0
12423,Rajdhani,2100,2026-03-26,Thursday,Clear,7,0
12951,Rajdhani,1380,2025-08-19,Tuesday,Clear,17,0
12004,Shatabdi,450,2025-05-21,Wednesday,Clear,12,0
12423,Rajdhani,2100,2025-11-23,Sunday,Rainy,15,0
22924,Superfast,1500,2025-06-16,Monday,Clear,15,0
12004,Shatabdi,450,2025-05-22,Thursday,Stormy,2,0
12423,Rajdhani,2100,2025-04-24,Thursday,Clear,8,0
12004,Shatabdi,450,2025-05-04,Sunday,Clear,3,0
12951,Rajdhani,1380,2025-07-13,Sunday,Clear,8,0
12004,Shatabdi,450,2025-10-23,Thursday,Clear,5,0
11020,Express,1800,2025-07-25,Friday,Rainy,37,0
12951,Rajdhani,1380,2025-11-09,Sunday,Clear,6,0
12951,Rajdhani,1380,2025-06-21,Saturday,Foggy,70,1
12423,Rajdhani,2100,2025-04-23,Wednesday,Clear,3,0
12423,Rajdhani,2100,2025-06-01,Sunday,Clear,18,0
12004,Shatabdi,450,2025-11-17,Monday,Rainy,18,0
12423,Rajdhani,2100,2025-12-23,Tuesday,Rainy,20,0
12423,Rajdhani,2100,2025-12-28,Sunday,Foggy,49,0
12423,Rajdhani,2100,2026-03-01,Sunday,Rainy,16,0
12951,Rajdhani,1380,2026-02-25,Wednesday,Clear,13,0
12004,Shatabdi,450,2026-01-02,Friday,Clear,8,0
12423,Rajdhani,2100,2025-10-30,Thursday,Foggy,69,1
22924,Superfast,1500,2025-07-15,Tuesday,Clear,1,0
12951,Rajdhani,1380,2026-01-23,Friday,Rainy,36,0
12423,Rajdhani,2100,2025-05-20,Tuesday,Clear,6,0
12423,Rajdhani,2100,2026-03-15,Sunday,Clear,0,0
12423,Rajdhani,2100,2025-11-24,Monday,Clear,2,0
12004,Shatabdi,450,2025-11-15,Saturday,Stormy,4,0
22924,Superfast,1500,2025-11-19,Wednesday,Rainy,50,0
22924,Superfast,1500,2026-01-21,Wednesday,Rainy,42,0
22924,Superfast,1500,2025-08-20,Wednesday,Clear,10,0
22924,Superfast,1500,2025-10-12,Sunday,Clear,13,0
12951,Rajdhani,1380,2026-03-05,Thursday,Rainy,20,0
12423,Rajdhani,2100,2025-07-25,Friday,Stormy,2,0
22924,Superfast,1500,2025-11-08,Saturday,Clear,0,0
12423,Rajdhani,2100,2025-07-27,Sunday,Clear,9,0
12004,Shatabdi,450,2025-11-15,Saturday,Clear,5,0
12951,Rajdhani,1380,2026-03-12,Thursday,Clear,1,0
12004,Shatabdi,450,2025-05-07,Wednesday,Clear,18,0
12004,Shatabdi,450,2025-12-12,Friday,Clear,1,0
22924,Superfast,1500,2026-01-05,Monday,Foggy,146,1
11020,Express,1800,2026-02-06,Friday,Foggy,117,1
11020,Express,1800,2025-04-20,Sunday,Foggy,160,1
12951,Rajdhani,1380,2025-08-23,Saturday,Clear,8,0
11020,Express,1800,2026-03-12,Thursday,Clear,3,0
11020,Express,1800,2025-11-16,Sunday,Clear,10,0
12423,Rajdhani,2100,2025-08-19,Tuesday,Clear,4,0
12423,Rajdhani,2100,2026-04-05,Sunday,Clear,1,0
11020,Express,1800,2025-10-10,Friday,Foggy,141,1
12423,Rajdhani,2100,2025-07-22,Tuesday,Rainy,32,0
12423,Rajdhani,2100,2026-02-17,Tuesday,Clear,4,0
11020,Express,1800,2025-09-19,Friday,Clear,8,0
22924,Superfast,1500,2025-07-23,Wednesday,Clear,0,0
12004,Shatabdi,450,2026-04-01,Wednesday,Stormy,8,0
12004,Shatabdi,450,2025-04-15,Tuesday,Clear,11,0
12423,Rajdhani,2100,2025-07-04,Friday,Clear,7,0
11020,Express,1800,2026-04-03,Friday,Clear,1,0
12951,Rajdhani,1380,2025-10-01,Wednesday,Clear,15,0
22924,Superfast,1500,2025-07-22,Tuesday,Foggy,84,1
12951,Rajdhani,1380,2025-09-17,Wednesday,Rainy,12,0
12951,Rajdhani,1380,2025-10-02,Thursday,Foggy,92,1
11020,Express,1800,2025-06-10,Tuesday,Clear,24,0
12423,Rajdhani,2100,2025-10-26,Sunday,Clear,8,0
11020,Express,1800,2026-01-31,Saturday,Clear,22,0
12423,Rajdhani,2100,2025-06-21,Saturday,Stormy,25,0
22924,Superfast,1500,2025-08-17,Sunday,Clear,3,0
12423,Rajdhani,2100,2025-08-22,Friday,Clear,2,0
22924,Superfast,1500,2025-06-14,Saturday,Clear,10,0
12004,Shatabdi,450,2025-09-01,Monday,Foggy,63,1
22924,Superfast,1500,2025-08-21,Thursday,Clear,0,0
11020,Express,1800,2025-05-30,Friday,Foggy,124,1
11020,Express,1800,2026-03-09,Monday,Rainy,44,0
22924,Superfast,1500,2025-09-22,Monday,Rainy,36,0
12423,Rajdhani,2100,2025-04-16,Wednesday,Clear,12,0
12423,Rajdhani,2100,2025-10-28,Tuesday,Rainy,10,0
12951,Rajdhani,1380,2025-11-03,Monday,Clear,6,0
12951,Rajdhani,1380,2025-09-06,Saturday,Clear,0,0
11020,Express,1800,2026-01-16,Friday,Clear,8,0
12004,Shatabdi,450,2025-12-24,Wednesday,Clear,7,0
12951,Rajdhani,1380,2026-02-20,Friday,Stormy,1,0
22924,Superfast,1500,2026-01-13,Tuesday,Clear,21,0
12004,Shatabdi,450,2025-11-14,Friday,Foggy,82,1
12951,Rajdhani,1380,2025-09-30,Tuesday,Rainy,12,0
22924,Superfast,1500,2025-11-28,Friday,Rainy,37,0
11020,Express,1800,2025-06-24,Tuesday,Clear,14,0
12423,Rajdhani,2100,2025-10-07,Tuesday,Clear,2,0
12423,Rajdhani,2100,2025-09-21,Sunday,Clear,0,0
12951,Rajdhani,1380,2025-12-11,Thursday,Clear,18,0
12423,Rajdhani,2100,2025-05-22,Thursday,Clear,4,0
22924,Superfast,1500,2025-08-25,Monday,Foggy,166,1
12951,Rajdhani,1380,2025-06-24,Tuesday,Rainy,12,0
12951,Rajdhani,1380,2025-08-31,Sunday,Rainy,16,0
12951,Rajdhani,1380,2025-07-11,Friday,Rainy,15,0
11020,Express,1800,2026-01-07,Wednesday,Foggy,181,1
12004,Shatabdi,450,2025-11-29,Saturday,Clear,0,0
12004,Shatabdi,450,2026-03-05,Thursday,Clear,7,0
12004,Shatabdi,450,2026-03-02,Monday,Clear,2,0
11020,Express,1800,2025-08-24,Sunday,Stormy,5,0
11020,Express,1800,2025-08-20,Wednesday,Rainy,32,0
12004,Shatabdi,450,2026-04-04,Saturday,Stormy,12,0
12423,Rajdhani,2100,2025-09-03,Wednesday,Clear,2,0
12004,Shatabdi,450,2025-11-07,Friday,Foggy,73,1
12004,Shatabdi,450,2025-12-27,Saturday,Clear,46,0
12004,Shatabdi,450,2025-12-01,Monday,Clear,1,0
22924,Superfast,1500,2026-02-11,Wednesday,Clear,14,0
12951,Rajdhani,1380,2026-02-01,Sunday,Rainy,30,0
11020,Express,1800,2026-04-04,Saturday,Clear,16,0
12004,Shatabdi,450,2025-09-28,Sunday,Clear,1,0
11020,Express,1800,2025-12-17,Wednesday,Clear,51,0
12423,Rajdhani,2100,2025-07-07,Monday,Stormy,0,0
22924,Superfast,1500,2025-11-15,Saturday,Stormy,4,0
12423,Rajdhani,2100,2025-08-06,Wednesday,Stormy,0,0
22924,Superfast,1500,2025-08-21,Thursday,Rainy,28,0
12951,Rajdhani,1380,2026-04-07,Tuesday,Clear,3,0
11020,Express,1800,2026-03-20,Friday,Clear,10,0
11020,Express,1800,2025-05-08,Thursday,Clear,21,0
22924,Superfast,1500,2026-03-02,Monday,Rainy,35,0
22924,Superfast,1500,2026-02-20,Friday,Stormy,10,0
12423,Rajdhani,2100,2026-01-16,Friday,Clear,0,0
12004,Shatabdi,450,2026-02-16,Monday,Foggy,76,1
22924,Superfast,1500,2025-10-30,Thursday,Clear,16,0
12951,Rajdhani,1380,2026-03-11,Wednesday,Clear,0,0
22924,Superfast,1500,2025-12-25,Thursday,Clear,4,0
11020,Express,1800,2025-08-28,Thursday,Clear,0,0
12951,Rajdhani,1380,2025-06-29,Sunday,Stormy,17,0
11020,Express,1800,2026-02-26,Thursday,Clear,5,0
12951,Rajdhani,1380,2026-01-18,Sunday,Foggy,55,0
12004,Shatabdi,450,2025-05-12,Monday,Rainy,15,0
22924,Superfast,1500,2026-01-27,Tuesday,Foggy,180,1
12423,Rajdhani,2100,2026-01-14,Wednesday,Clear,11,0
12423,Rajdhani,2100,2025-09-11,Thursday,Clear,0,0
12951,Rajdhani,1380,2025-06-25,Wednesday,Clear,5,0
22924,Superfast,1500,2025-05-02,Friday,Clear,23,0
12423,Rajdhani,2100,2025-05-17,Saturday,Clear,0,0
12951,Rajdhani,1380,2026-03-23,Monday,Foggy,63,1
12951,Rajdhani,1380,2025-12-22,Monday,Clear,1,0
12004,Shatabdi,450,2025-04-29,Tuesday,Clear,3,0
22924,Superfast,1500,2025-05-04,Sunday,Stormy,7,0
22924,Superfast,1500,2026-01-26,Monday,Clear,9,0
11020,Express,1800,2025-09-13,Saturday,Clear,18,0
12423,Rajdhani,2100,2025-12-28,Sunday,Clear,2,0
22924,Superfast,1500,2025-07-23,Wednesday,Clear,20,0
12423,Rajdhani,2100,2025-05-09,Friday,Foggy,75,1
12004,Shatabdi,450,2026-01-23,Friday,Clear,1,0
11020,Express,1800,2025-12-25,Thursday,Clear,1,0
12004,Shatabdi,450,2025-05-08,Thursday,Clear,0,0
12951,Rajdhani,1380,2025-05-20,Tuesday,Rainy,20,0
11020,Express,1800,2025-10-12,Sunday,Rainy,31,0
12004,Shatabdi,450,2025-04-28,Monday,Clear,3,0
12423,Rajdhani,2100,2025-08-05,Tuesday,Clear,2,0
11020,Express,1800,2026-01-09,Friday,Rainy,62,1
12004,Shatabdi,450,2025-07-12,Saturday,Clear,4,0
12951,Rajdhani,1380,2025-08-14,Thursday,Rainy,14,0
12951,Rajdhani,1380,2025-10-21,Tuesday,Rainy,17,0
11020,Express,1800,2025-06-27,Friday,Clear,20,0
12004,Shatabdi,450,2025-04-28,Monday,Clear,13,0
11020,Express,1800,2026-02-13,Friday,Rainy,62,1
22924,Superfast,1500,2025-07-23,Wednesday,Rainy,28,0
12004,Shatabdi,450,2025-12-10,Wednesday,Clear,13,0
12951,Rajdhani,1380,2025-04-19,Saturday,Clear,6,0
11020,Express,1800,2025-04-25,Friday,Clear,5,0
12423,Rajdhani,2100,2026-03-16,Monday,Clear,0,0
11020,Express,1800,2025-09-18,Thursday,Foggy,120,1
12951,Rajdhani,1380,2026-03-23,Monday,Rainy,20,0
12951,Rajdhani,1380,2025-09-28,Sunday,Foggy,61,1
11020,Express,1800,2026-03-11,Wednesday,Clear,1,0
11020,Express,1800,2025-10-29,Wednesday,Clear,37,0
12951,Rajdhani,1380,2025-09-23,Tuesday,Rainy,31,0
12004,Shatabdi,450,2025-11-09,Sunday,Clear,11,0
12951,Rajdhani,1380,2025-08-09,Saturday,Clear,3,0
12004,Shatabdi,450,2025-07-22,Tuesday,Rainy,25,0
12951,Rajdhani,1380,2026-01-31,Saturday,Rainy,19,0
11020,Express,1800,2025-10-20,Monday,Clear,0,0
12423,Rajdhani,2100,2025-12-11,Thursday,Stormy,0,0
11020,Express,1800,2025-08-03,Sunday,Clear,10,0
12423,Rajdhani,2100,2026-03-02,Monday,Clear,3,0
12951,Rajdhani,1380,2025-07-05,Saturday,Rainy,31,0
12004,Shatabdi,450,2025-11-09,Sunday,Clear,1,0
22924,Superfast,1500,2025-06-30,Monday,Clear,9,0
12004,Shatabdi,450,2025-07-26,Saturday,Clear,3,0
12004,Shatabdi,450,2025-12-24,Wednesday,Foggy,72,1
22924,Superfast,1500,2025-12-09,Tuesday,Clear,28,0
12004,Shatabdi,450,2026-04-05,Sunday,Stormy,13,0
12951,Rajdhani,1380,2025-11-03,Monday,Stormy,0,0
11020,Express,1800,2025-11-20,Thursday,Foggy,119,1
12951,Rajdhani,1380,2025-11-25,Tuesday,Stormy,11,0
11020,Express,1800,2026-04-01,Wednesday,Foggy,182,1
12423,Rajdhani,2100,2025-09-15,Monday,Clear,3,0
12423,Rajdhani,2100,2026-01-11,Sunday,Clear,25,0
12951,Rajdhani,1380,2025-08-28,Thursday,Clear,3,0
12423,Rajdhani,2100,2026-02-17,Tuesday,Foggy,66,1
12951,Rajdhani,1380,2026-02-09,Monday,Clear,9,0
12004,Shatabdi,450,2025-09-23,Tuesday,Rainy,17,0
12423,Rajdhani,2100,2025-11-18,Tuesday,Clear,3,0
11020,Express,1800,2026-01-11,Sunday,Foggy,102,1
22924,Superfast,1500,2025-08-04,Monday,Rainy,54,0
12423,Rajdhani,2100,2025-10-27,Monday,Clear,7,0
22924,Superfast,1500,2025-09-01,Monday,Clear,6,0
12951,Rajdhani,1380,2025-12-02,Tuesday,Clear,4,0
22924,Superfast,1500,2025-10-07,Tuesday,Clear,18,0
11020,Express,1800,2025-05-22,Thursday,Clear,1,0
22924,Superfast,1500,2025-06-08,Sunday,Rainy,57,0
11020,Express,1800,2026-04-06,Monday,Foggy,137,1
12423,Rajdhani,2100,2026-03-10,Tuesday,Rainy,15,0
12951,Rajdhani,1380,2025-12-01,Monday,Stormy,18,0
12423,Rajdhani,2100,2026-01-30,Friday,Foggy,100,1
12951,Rajdhani,1380,2025-09-01,Monday,Rainy,19,0
22924,Superfast,1500,2026-01-14,Wednesday,Foggy,169,1
12004,Shatabdi,450,2025-09-13,Saturday,Clear,10,0
12423,Rajdhani,2100,2025-12-09,Tuesday,Clear,0,0
12423,Rajdhani,2100,2025-09-16,Tuesday,Rainy,24,0
12004,Shatabdi,450,2025-06-14,Saturday,Rainy,20,0
12951,Rajdhani,1380,2025-07-08,Tuesday,Clear,4,0
12004,Shatabdi,450,2026-01-27,Tuesday,Rainy,49,0
11020,Express,1800,2026-04-10,Friday,Clear,11,0
12423,Rajdhani,2100,2025-08-05,Tuesday,Foggy,33,0
12004,Shatabdi,450,2025-09-26,Friday,Clear,2,0
11020,Express,1800,2025-07-12,Saturday,Clear,3,0
22924,Superfast,1500,2025-07-01,Tuesday,Clear,8,0
11020,Express,1800,2025-07-18,Friday,Foggy,150,1
12004,Shatabdi,450,2025-08-07,Thursday,Clear,2,0
22924,Superfast,1500,2026-02-25,Wednesday,Rainy,37,0
22924,Superfast,1500,2025-07-18,Friday,Clear,2,0
12004,Shatabdi,450,2025-10-14,Tuesday,Clear,0,0
12004,Shatabdi,450,2025-08-24,Sunday,Clear,23,0
12423,Rajdhani,2100,2025-05-29,Thursday,Rainy,11,0
12423,Rajdhani,2100,2025-10-08,Wednesday,Stormy,7,0
22924,Superfast,1500,2026-01-25,Sunday,Clear,13,0
12951,Rajdhani,1380,2025-08-04,Monday,Clear,5,0
22924,Superfast,1500,2025-10-19,Sunday,Clear,0,0
12951,Rajdhani,1380,2025-08-04,Monday,Clear,8,0
22924,Superfast,1500,2026-02-22,Sunday,Clear,25,0
12951,Rajdhani,1380,2025-05-28,Wednesday,Clear,0,0
12004,Shatabdi,450,2025-10-07,Tuesday,Rainy,25,0
12951,Rajdhani,1380,2026-01-05,Monday,Rainy,43,0
12423,Rajdhani,2100,2025-09-05,Friday,Clear,5,0
12423,Rajdhani,2100,2025-05-23,Friday,Clear,4,0
12004,Shatabdi,450,2026-02-27,Friday,Clear,1,0
12951,Rajdhani,1380,2025-10-10,Friday,Clear,4,0
22924,Superfast,1500,2025-12-06,Saturday,Clear,7,0
22924,Superfast,1500,2025-06-01,Sunday,Stormy,2,0
22924,Superfast,1500,2025-08-18,Monday,Clear,49,0
22924,Superfast,1500,2026-01-18,Sunday,Clear,1,0
11020,Express,1800,2025-11-27,Thursday,Clear,4,0
12004,Shatabdi,450,2025-11-28,Friday,Clear,11,0
11020,Express,1800,2026-01-28,Wednesday,Rainy,42,0
12423,Rajdhani,2100,2025-05-14,Wednesday,Rainy,42,0
12004,Shatabdi,450,2025-05-12,Monday,Rainy,13,0
12423,Rajdhani,2100,2026-01-31,Saturday,Stormy,0,0
12004,Shatabdi,450,2025-07-24,Thursday,Clear,14,0
22924,Superfast,1500,2025-11-02,Sunday,Foggy,116,1
12004,Shatabdi,450,2025-09-17,Wednesday,Clear,9,0
11020,Express,1800,2025-10-16,Thursday,Stormy,12,0
12423,Rajdhani,2100,2025-07-14,Monday,Clear,29,0
22924,Superfast,1500,2025-08-18,Monday,Rainy,32,0
12951,Rajdhani,1380,2025-07-14,Monday,Rainy,8,0
12004,Shatabdi,450,2025-11-05,Wednesday,Clear,6,0
12423,Rajdhani,2100,2026-02-16,Monday,Clear,7,0
12951,Rajdhani,1380,2026-03-21,Saturday,Clear,3,0
11020,Express,1800,2025-09-09,Tuesday,Clear,7,0
22924,Superfast,1500,2025-09-14,Sunday,Clear,0,0
11020,Express,1800,2026-03-16,Monday,Clear,18,0
11020,Express,1800,2025-11-19,Wednesday,Foggy,126,1
12004,Shatabdi,450,2026-04-01,Wednesday,Foggy,32,0
